ROUTE,REFPT,ENDREFPT,RUNLENGTH_FROM,RUNLENGTH_TO,SEG_LENGTH,CURVE_UPDATEYR,PRICURVE,PRICURVECLASS,SECCURVE,SECCURVECLASS,OBJECTID
025A,206.93799999999999,207.07499999999999,206.76900000000001,206.904,0.135,"2,016",-1,A,,,"6,648"
025A,207.07499999999999,207.20500000000001,206.904,207.03399999999999,0.13,"2,016",-688,C,,,"6,649"
025A,207.20500000000001,207.357,207.03399999999999,207.18100000000001,0.147,"2,016",-1,A,,,"6,650"
025A,207.357,207.65299999999999,207.18100000000001,207.46700000000001,0.286,"2,016","1,515",B,,,"6,651"
025A,207.65299999999999,207.81399999999999,207.46700000000001,207.62100000000001,0.154,"2,016",-1,A,,,"6,652"
025A,207.81399999999999,207.899,207.62100000000001,207.703,0.082,"2,016",-434,D,,,"6,653"
025A,207.899,207.91300000000001,207.703,207.71600000000001,0.013,"2,016",-1,A,,,"6,654"
025A,207.91300000000001,207.959,207.71600000000001,207.75399999999999,0.038,"2,016",-206,E,,,"6,655"
025A,207.959,208.03,207.75399999999999,207.845,0.091,"2,016",-1,A,,,"6,656"
025A,208.03,208.12700000000001,207.845,207.94499999999999,0.1,"2,016",-524,D,,,"6,657"
025A,208.12700000000001,208.26900000000001,207.94499999999999,208.08799999999999,0.143,"2,016",-1,A,,,"6,658"
025A,208.26900000000001,208.40299999999999,208.08799999999999,208.22499999999999,0.137,"2,016",-720,C,,,"6,659"
025A,208.40299999999999,208.52500000000001,208.22499999999999,208.351,0.126,"2,016",-1,A,,,"6,660"
025A,208.52500000000001,208.661,208.351,208.49000000000001,0.139,"2,016",739,C,,,"6,661"
025A,208.661,208.84800000000001,208.49000000000001,208.673,0.183,"2,016",-1,A,,,"6,662"
025A,208.84800000000001,208.94800000000001,208.673,208.761,0.088,"2,016",-459,D,,,"6,663"
025A,208.94800000000001,208.97999999999999,208.761,208.78899999999999,0.028,"2,016",-1,A,,,"6,664"
025A,208.97999999999999,209.142,208.78899999999999,208.93799999999999,0.149,"2,016",780,C,,,"6,665"
025A,209.142,209.51599999999999,208.93799999999999,209.35400000000001,0.416,"2,016",-1,A,,,"6,666"
025A,209.51599999999999,209.547,209.35400000000001,209.38499999999999,0.031,"2,016",160,F,,,"6,667"
025A,209.547,209.571,209.38499999999999,209.40899999999999,0.024,"2,016",-1,A,,,"6,668"
025A,209.571,209.88800000000001,209.40899999999999,209.69300000000001,0.284,"2,016","1,503",B,,,"6,669"
025A,209.88800000000001,209.95599999999999,209.69300000000001,209.75200000000001,0.059,"2,016",-1,A,,,"6,670"
025A,209.95599999999999,210.22300000000001,209.75200000000001,209.99000000000001,0.238,"2,016","-1,253",B,,,"6,671"
025A,210.22300000000001,210.28800000000001,209.99000000000001,210.05699999999999,0.067,"2,016",-1,A,,,"6,672"
025A,210.28800000000001,210.48099999999999,210.05699999999999,210.28299999999999,0.226,"2,016","-1,193",B,,,"6,673"
025A,210.48099999999999,210.50700000000001,210.28299999999999,210.31800000000001,0.035,"2,016",-1,A,,,"6,674"
025A,210.50700000000001,210.53999999999999,210.31800000000001,210.35300000000001,0.035,"2,016",-180,F,,,"6,675"
025A,210.53999999999999,210.60400000000001,210.35300000000001,210.40899999999999,0.056,"2,016",-1,A,,,"6,676"
025A,210.60400000000001,210.90600000000001,210.40899999999999,210.70500000000001,0.296,"2,016","1,569",B,,,"6,677"
025A,210.90600000000001,210.92400000000001,210.70500000000001,210.727,0.022,"2,016",-1,A,,,"6,678"
025A,210.92400000000001,210.964,210.727,210.774,0.047,"2,016",247,E,,,"6,679"
025A,210.964,211.08600000000001,210.774,210.90100000000001,0.127,"2,016",-1,A,,,"6,680"
025A,211.08600000000001,211.36099999999999,210.90100000000001,211.167,0.266,"2,016","1,409",B,,,"6,681"
025A,211.36099999999999,211.78999999999999,211.167,211.608,0.441,"2,016",-1,A,,,"6,682"
025A,211.78999999999999,211.839,211.608,211.66999999999999,0.062,"2,016",326,E,,,"6,683"
025A,211.839,211.86099999999999,211.66999999999999,211.685,0.015,"2,016",-1,A,,,"6,684"
025A,211.86099999999999,211.96700000000001,211.685,211.74299999999999,0.058,"2,016",306,E,,,"6,685"
025A,211.96700000000001,212.084,211.74299999999999,211.851,0.108,"2,016",-1,A,,,"6,686"
025A,212.084,212.274,211.851,212.05699999999999,0.206,"2,016","-1,079",B,,,"6,687"
025A,212.274,212.40100000000001,212.05699999999999,212.19399999999999,0.137,"2,016",-1,A,,,"6,688"
025A,212.40100000000001,212.572,212.19399999999999,212.38,0.186,"2,016",988,C,,,"6,689"
025A,212.572,212.58500000000001,212.38,212.393,0.013,"2,016",-1,A,,,"6,690"
025A,212.58500000000001,212.60900000000001,212.393,212.41999999999999,0.027,"2,016",146,F,,,"6,691"
025A,212.60900000000001,212.68199999999999,212.41999999999999,212.5,0.08,"2,016",-1,A,,,"6,692"
025A,212.68199999999999,212.70400000000001,212.5,212.523,0.023,"2,016",-127,F,,,"6,693"
025A,212.70400000000001,212.71000000000001,212.523,212.529,0.006,"2,016",-1,A,,,"6,694"
025A,212.71000000000001,212.73500000000001,212.529,212.55699999999999,0.028,"2,016",147,F,,,"6,695"
025A,212.73500000000001,212.767,212.55699999999999,212.58699999999999,0.03,"2,016",-1,A,,,"6,696"
025A,212.767,213.38800000000001,212.58699999999999,213.22,0.633,"2,016","-3,321",A,,,"6,697"
025A,213.38800000000001,213.453,213.22,213.28800000000001,0.068,"2,016",-1,A,,,"6,698"
025A,213.453,213.47499999999999,213.28800000000001,213.315,0.027,"2,016",139,F,,,"6,699"
025A,213.47499999999999,213.51900000000001,213.315,213.35900000000001,0.044,"2,016",-1,A,,,"6,700"
025A,213.51900000000001,213.554,213.35900000000001,213.39400000000001,0.035,"2,016",186,F,,,"6,701"
025A,213.554,213.57599999999999,213.39400000000001,213.416,0.022,"2,016",-1,A,,,"6,702"
025A,213.57599999999999,213.637,213.416,213.477,0.061,"2,016",-312,E,,,"6,703"
025A,213.637,213.797,213.477,213.63499999999999,0.158,"2,016",-1,A,,,"6,704"
025A,213.797,213.822,213.63499999999999,213.66,0.025,"2,016",132,F,,,"6,705"
025A,213.822,214.167,213.66,214.005,0.345,"2,016",-1,A,,,"6,706"
025A,214.167,214.35400000000001,214.005,214.18600000000001,0.181,"2,016",957,C,,,"6,707"
025A,214.35400000000001,214.75299999999999,214.18600000000001,214.57900000000001,0.393,"2,016",-1,A,,,"6,708"
025A,214.75299999999999,214.84899999999999,214.57900000000001,214.67400000000001,0.095,"2,016",500,D,,,"6,709"
025A,214.84899999999999,214.86699999999999,214.67400000000001,214.69200000000001,0.018,"2,016",-1,A,,,"6,710"
025A,214.86699999999999,214.90100000000001,214.69200000000001,214.726,0.034,"2,016",178,F,,,"6,711"
025A,214.90100000000001,214.911,214.726,214.73500000000001,0.009,"2,016",-1,A,,,"6,712"
025A,214.911,214.91800000000001,214.73500000000001,214.74199999999999,0.007,"2,016",-40,F,,,"6,713"
