county,year,totalPopulation
Hinsdale,2016,808
Moffat,2016,13266
Elbert,2016,24448
Eagle,2002,45104
Garfield,2003,47483
Adams,2003,377669
Washington,2010,4815
Hinsdale,2001,801
Sedgwick,2013,2383
Fremont,2005,46448
Broomfield,2002,42430
Teller,2014,23117
Arapahoe,2020,654919
Bent,2018,5979
Logan,2003,22374
Sedgwick,2022,2310
Kiowa,2018,1441
Ouray,2009,4372
Eagle,2010,52057
Bent,2011,6356
Crowley,2018,5839
Archuleta,2003,10965
Morgan,2003,27852
Jackson,2003,1587
Montezuma,2010,25532
Moffat,2010,13806
Park,2005,16063
Park,2020,17414
Las Animas,2017,14813
Las Animas,2009,15478
El Paso,2003,551671
Teller,2009,23201
Gilpin,2020,5820
Las Animas,2007,15525
Weld,2013,269768
Routt,2000,20122
Baca,2011,3758
Park,2000,14728
Hinsdale,2004,833
El Paso,2021,738534
Broomfield,2012,59275
Yuma,2007,9882
Conejos,2007,8434
Montrose,2016,41595
Bent,2017,5969
Garfield,2013,56800
Montrose,2003,35637
Cheyenne,2018,1786
Ouray,2020,4875
Teller,2011,23264
Archuleta,2005,11402
Phillips,2004,4584
Kit Carson,2015,7566
Bent,2002,6205
Summit,2008,27463
Teller,2008,23103
Pitkin,2016,17689
Routt,2020,24820
San Miguel,2022,8022
Routt,2008,22934
Logan,2018,21615
Phillips,2005,4547
Washington,2007,4925
Conejos,2021,7581
Summit,2018,31093
Conejos,2015,7928
Conejos,2005,8499
Ouray,2004,4028
Gunnison,2005,14473
Adams,2022,527065
Rio Blanco,2019,6532
Clear Creek,2018,9386
Boulder,2001,283508
Douglas,2010,287124
Mesa,2002,121786
Boulder,2018,328058
Bent,2021,5723
Adams,2009,436321
Jefferson,2001,528070
Pitkin,2000,15763
Montrose,2009,40685
Baca,2003,4257
Dolores,2001,1861
Gilpin,2007,4956
Prowers,2014,12022
Kiowa,2010,1399
Jefferson,2016,571744
Sedgwick,2011,2370
Garfield,2018,59772
Weld,2010,254230
Teller,2019,24680
Las Animas,2004,15702
Pitkin,2013,17321
Montrose,2015,41458
Custer,2019,4641
Washington,2022,4850
Costilla,2022,3595
Gilpin,2008,5084
Hinsdale,2015,813
Arapahoe,2008,556252
Montrose,2011,41249
San Juan,2017,696
Phillips,2000,4451
Cheyenne,2005,2042
Grand,2012,14925
Jefferson,2022,580771
Otero,2003,19666
Adams,2002,371182
Pitkin,2021,17329
San Miguel,2002,7040
Lake,2009,7174
Ouray,2008,4407
Costilla,2004,3802
Broomfield,2015,65828
Ouray,2021,5048
Moffat,2015,13039
Eagle,2001,44440
Montrose,2001,34443
Eagle,2007,49286
Huerfano,2020,6831
Arapahoe,2001,501667
Dolores,2008,2074
Park,2011,15896
Boulder,2021,329789
San Juan,2001,568
Jefferson,2018,579822
Hinsdale,2000,792
El Paso,2018,717812
Kit Carson,2012,8084
Alamosa,2001,15230
Clear Creek,2001,9468
Phillips,2012,4479
Lake,2012,7100
Cheyenne,2009,1829
Sedgwick,2001,2694
